date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:36:14	5360/5360	---M--	200	added ('OK')	text/plain	etag:%2214f0-569202af%22	http://www.imdb.com/robots.txt		(from )
22:36:14	136775/136775	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:36:11%20GMT	http://www.imdb.com/genre/fantasy	www.imdb.com/genre/fantasy.html	(from )
22:36:47	191780/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:36:15%20GMT	http://www.imdb.com/title/tt2527336/	www.imdb.com/title/tt2527336/index.html	(from http://www.imdb.com/genre/fantasy)
22:36:50	224965/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:36:15%20GMT	http://www.imdb.com/title/tt0076759/	www.imdb.com/title/tt0076759/index.html	(from http://www.imdb.com/genre/fantasy)
22:36:51	235651/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:36:15%20GMT	http://www.imdb.com/title/tt2488496/	www.imdb.com/title/tt2488496/index.html	(from http://www.imdb.com/genre/fantasy)
22:36:51	228216/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:36:14%20GMT	http://www.imdb.com/title/tt0120915/	www.imdb.com/title/tt0120915/index.html	(from http://www.imdb.com/genre/fantasy)
22:37:21	185200/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:36:50%20GMT	http://www.imdb.com/title/tt3748528/	www.imdb.com/title/tt3748528/index.html	(from http://www.imdb.com/genre/fantasy)
22:37:23	188785/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:36:51%20GMT	http://www.imdb.com/title/tt3385516/	www.imdb.com/title/tt3385516/index.html	(from http://www.imdb.com/genre/fantasy)
22:37:23	229447/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:36:47%20GMT	http://www.imdb.com/title/tt0086190/	www.imdb.com/title/tt0086190/index.html	(from http://www.imdb.com/genre/fantasy)
22:37:28	228291/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:36:51%20GMT	http://www.imdb.com/title/tt0121766/	www.imdb.com/title/tt0121766/index.html	(from http://www.imdb.com/genre/fantasy)
22:37:55	193394/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:37:23%20GMT	http://www.imdb.com/title/tt2975590/	www.imdb.com/title/tt2975590/index.html	(from http://www.imdb.com/genre/fantasy)
22:37:56	222109/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:37:21%20GMT	http://www.imdb.com/title/tt3332064/	www.imdb.com/title/tt3332064/index.html	(from http://www.imdb.com/genre/fantasy)
22:38:00	226861/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:37:23%20GMT	http://www.imdb.com/title/tt0080684/	www.imdb.com/title/tt0080684/index.html	(from http://www.imdb.com/genre/fantasy)
22:38:05	229938/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:37:28%20GMT	http://www.imdb.com/title/tt0121765/	www.imdb.com/title/tt0121765/index.html	(from http://www.imdb.com/genre/fantasy)
22:38:31	225959/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:37:54%20GMT	http://www.imdb.com/title/tt2096673/	www.imdb.com/title/tt2096673/index.html	(from http://www.imdb.com/genre/fantasy)
22:38:32	221599/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:37:56%20GMT	http://www.imdb.com/title/tt1979388/	www.imdb.com/title/tt1979388/index.html	(from http://www.imdb.com/genre/fantasy)
22:38:35	220723/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:38:00%20GMT	http://www.imdb.com/title/tt3850590/	www.imdb.com/title/tt3850590/index.html	(from http://www.imdb.com/genre/fantasy)
22:38:40	222692/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:38:05%20GMT	http://www.imdb.com/title/tt2974918/	www.imdb.com/title/tt2974918/index.html	(from http://www.imdb.com/genre/fantasy)
22:39:05	176222/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:38:37%20GMT	http://www.imdb.com/title/tt1211837/	www.imdb.com/title/tt1211837/index.html	(from http://www.imdb.com/genre/fantasy)
22:39:08	229049/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:38:32%20GMT	http://www.imdb.com/title/tt0241527/	www.imdb.com/title/tt0241527/index.html	(from http://www.imdb.com/genre/fantasy)
22:39:09	225741/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:38:32%20GMT	http://www.imdb.com/title/tt1201607/	www.imdb.com/title/tt1201607/index.html	(from http://www.imdb.com/genre/fantasy)
22:39:09	173666/-1	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Jan%202016%2022:38:41%20GMT	http://www.imdb.com/title/tt3183660/	www.imdb.com/title/tt3183660/index.html	(from http://www.imdb.com/genre/fantasy)
